Well Name,Depth,Quartz,K-Feldspar,Plagioclase,Chlorite,IlliteSmectiteMica,Calcite,Ankerite/Dolomite,Pyrite,Organics,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl,Zr
Well 1,3173.97,27.56,0.4,8.17,5.46,20.73,26.11,9.3,1.94,0.34,7.27,42.24,0.42,3.4,0.02,0.53,19.49,0.78,1.19,0.2,1.2,0.28,201.7
Well 1,3183.11,42.92,0.64,9.63,4.1,15.61,18.31,5.07,1.51,2.21,5.08,50.17,0.39,2.08,0.02,0.09,15.52,0.93,1.01,0.19,0.81,0.26,395.35
Well 1,3192.26,44.55,0.56,10.07,4.33,15.17,16.78,6.14,0.8,1.6,5.05,46.91,0.38,2.14,0.02,0.15,15.52,0.87,0.98,0.18,0.76,0.23,362.7
Well 1,3201.4,42.65,0.38,9.04,4.02,14.56,21.27,4.49,1.06,2.53,5.23,48.14,0.45,2.26,0.02,0.14,15.46,0.87,1.05,0.22,0.96,0.26,410.1
Well 1,3210.54,42.61,1.26,8.95,3.66,15.53,19.77,4.35,1.1,2.77,5.0,45.77,0.38,2.39,0.02,0.21,18.65,0.82,1.06,0.25,1.16,0.24,401.5
Well 1,3219.69,40.13,1.1,9.94,3.43,14.62,21.55,5.86,1.54,1.83,6.01,45.83,0.43,2.62,0.02,0.24,19.24,0.83,1.19,0.29,1.27,0.23,393.78
Well 1,3228.83,40.32,5.2,7.72,2.8,10.76,23.8,8.36,1.03,0.0,5.57,39.15,0.43,2.51,0.03,0.34,27.75,0.62,1.07,0.13,1.2,0.3,238.04
Well 1,3237.98,36.02,0.08,8.87,4.01,14.61,27.36,5.73,1.47,1.85,5.18,43.49,0.39,2.29,0.02,0.21,22.4,0.75,1.04,0.2,1.31,0.28,433.36
Well 1,3247.12,36.48,0.26,8.62,3.99,16.11,24.1,6.83,1.62,2.0,4.86,39.77,0.42,2.33,0.03,0.22,20.34,0.66,1.13,0.21,1.25,0.26,337.65
Well 1,3256.26,32.51,0.41,8.89,3.92,13.75,30.56,6.86,1.88,1.21,5.95,42.46,0.43,2.51,0.02,0.28,23.45,0.76,1.15,0.18,1.29,0.28,368.51
Well 1,3265.41,36.07,0.0,9.1,3.88,16.52,23.69,6.8,1.75,2.18,8.28,65.88,0.43,2.47,0.02,0.42,23.26,1.3,1.29,0.31,1.58,0.33,471.71
Well 1,3274.55,38.02,0.79,9.36,4.19,13.43,23.66,7.63,1.39,1.53,5.01,44.71,0.4,2.16,0.02,0.23,20.04,0.72,1.12,0.2,1.21,0.28,314.85
Well 1,3283.7,36.21,0.23,8.59,3.9,15.35,25.24,6.78,1.57,2.13,5.34,45.82,0.41,2.29,0.02,0.25,20.85,0.82,1.09,0.19,1.16,0.28,336.09
Well 1,3292.84,39.91,1.22,8.48,4.16,13.94,22.3,6.09,1.54,2.36,4.61,47.03,0.37,2.11,0.02,0.19,22.02,1.13,1.01,0.22,1.08,0.26,300.42
Well 1,3301.98,38.23,0.42,7.73,3.89,13.55,26.88,5.91,1.54,1.85,4.74,47.31,0.37,2.05,0.02,0.23,21.75,0.75,1.01,0.2,1.2,0.29,297.74
Well 1,3311.13,39.69,0.51,6.85,3.05,10.57,28.15,7.21,1.85,2.12,2.3,44.0,0.31,1.74,0.01,0.03,22.98,0.78,0.77,0.18,0.95,0.27,220.82
Well 1,3338.56,39.49,1.15,6.98,3.25,11.74,30.87,3.36,1.22,1.93,2.4,26.18,0.22,1.33,0.25,0.55,35.86,0.34,0.49,0.105,0.82,0.22,121.79
Well 1,3347.7,35.87,0.0,7.55,3.01,13.18,33.76,2.96,1.46,2.22,3.47,34.54,0.3,1.6,0.25,0.45,28.05,0.47,0.69,0.03,0.98,0.21,126.58
