MD,INC,AZ,TVD
39.80688,0.21,307.66,39.80688
67.90944,0.21,306.93,67.90944
96.3168,0.16,296.29,96.3168
124.72416,0.06,310.33,124.72416
153.40584,0.22,111.46,153.40584
183.55056,0.26,114.89,183.55056
211.25688,0.29,118.58,211.25688
239.20704,0.26,116.96,239.20704
267.06576,0.27,120.93,267.062712
295.13784,0.21,124.88,295.134792
322.66128,0.16,111.21,322.658232
350.45904,0.08,86.52,350.455992
379.20168,0.03,1.64,379.198632
407.9748,0.11,350.3,407.971752
436.9308,0.09,24.03,436.927752
465.94776,0.09,113.42,465.944712
494.90376,0.09,117.36,494.900712
523.61592,0.12,110.91,523.612872
552.54144,0.13,122.7,552.538392
581.43648,0.17,123.94,581.433432
610.362,0.25,127.54,610.358952
639.28752,0.25,130.95,639.284472
668.03016,0.26,126.63,668.027112
696.7728,0.24,135.11,696.769752
725.54592,0.22,135.17,725.542872
754.31904,0.21,138.34,754.315992
783.30552,0.2,139.1,783.302472
812.17008,0.22,163.77,812.167032
840.97368,0.21,159.98,840.967584
869.80776,0.07,193.49,869.801664
898.64184,0.06,199.57,898.635744
927.38448,0.05,196.44,927.378384
956.24904,0.02,257.81,956.242944
985.02216,0.01,241.38,985.016064
1013.88672,0.16,22.44,1013.880624
1042.69032,0.29,3.64,1042.684224
1071.55488,0.32,359.66,1071.548784
1100.4804,0.64,16.2,1100.474304
1129.34496,0.97,17.47,1129.335816
1158.30096,0.96,330.84,1158.288768
1187.31792,1.1,310.44,1187.299632
1216.152,1.06,308.99,1216.130664
1245.07752,1.0,307.4,1245.050088
1274.03352,0.89,311.43,1274.00304
1302.89808,0.88,315.27,1302.864552
1331.79312,1.17,322.93,1331.753496
1360.74912,1.2,322.54,1360.7034
1389.49176,0.97,317.85,1389.439944
1418.47824,0.95,317.17,1418.423376
1447.25136,0.82,318.53,1447.193448
1476.1464,0.85,316.59,1476.08544
1505.07192,0.77,311.0,1505.007912
1534.0584,0.69,315.63,1533.991344
1563.0144,0.71,318.11,1562.944296
1591.78752,0.7,324.97,1591.717416
1620.56064,0.56,336.61,1620.487488
1649.33376,0.48,345.54,1649.260608
1678.16784,0.54,16.24,1678.09164
1707.12384,0.73,20.9,1707.04764
1736.01888,0.76,21.41,1735.939632
1765.03584,0.61,12.3,1764.953544
1793.83944,0.58,357.35,1793.757144
1822.704,0.58,355.76,1822.618656
1851.72096,0.68,3.37,1851.635616
1880.58552,0.59,13.32,1880.497128
